Gemeindename,PLZ,Einwohnerzahl,Bürgermeister/in,Kontaktperson Funktion,Telefon,E-Mail,Webseite,KEM-Region,CAM/KEM-Manager,Status,Notizen
Sistrans,6073,2288,Johannes Piegger,Bürgermeister (direkt),+43 512 37721413 +43 650 2640932,buergermeister@sistrans.at,https://www.sistrans.at,Keine KEM-Region,,Offen,
Innsbruck,6020,131792,Ing.Mag. Johannes Anzengruber BSc,Bürgermeister (direkt),+43 512 53600,kontakt@innsbruck.gv.at,https://www.innsbruck.at,Keine KEM-Region (Bezirk Innsbruck-Land hat KEM-Regionen),,Offen,Nachbargemeinde von Natters
Imst,6460,11108,Stefan Weirather,Bürgermeister (direkt),+43 5412 6980,bgm.weirather@imst.gv.at,https://www.imst.tirol.gv.at,KEM Energiebündel Imst (bis 31.03.2024),,nicht kontaktiert,Nachbargemeinde von Mils bei Imst
Imsterberg,6492,798,MMMag.Dr. Richard Bartl,Bürgermeister (direkt),+43 650 98 31 184,buergermeister@imsterberg.gv.at,https://www.imsterberg.gv.at,KEM Energiebündel Imst (bis 31.03.2024),,nicht kontaktiert,Nachbargemeinde von Mils bei Imst
Mils bei Imst,6493,657,Bernhard Schöpf,Bürgermeister (Gemeindeamt),+43 5418 5297,gemeinde@mils-imst.gv.at,http://www.mils-imst.gv.at,KEM Energiebündel Imst (bis 31.03.2024),,nicht kontaktiert,Prioritätsgemeinde
Alpbach,6236,2553,Markus Bischofer,Bürgermeister (Gemeindeamt),+43 5336 5224,gemeinde@alpbach.gv.at,https://www.alpbach.tirol.gv.at,KEM-Region Alpbachtal,,Offen,
Brandenberg,6234,1523,Arno Abler,Bürgermeister (Gemeindeamt),+43 5331 5213,gemeinde@brandenberg.tirol.gv.at,https://www.brandenberg.tirol.gv.at,KEM-Region Alpbachtal,,Offen,
Brixlegg,6230,2970,Andreas Gang,Bürgermeister (Gemeindeamt),+43 5337 62271,gemeinde@brixlegg.tirol.gv.at,https://www.brixlegg.tirol.gv.at,KEM-Region Alpbachtal,,Offen,
Kramsach,6233,5020,Dr. Bernhard Steiner,Bürgermeister (Gemeindeamt),+43 5337 62271,amtsleitung@kramsach.at,https://www.kramsach.at,KEM-Region Alpbachtal,,Offen,
Berwang,6622,564,Dietmar Berktold,Bürgermeister (Gemeindeamt),+43 5674 8181,gemeinde@berwang.tirol.gv.at,https://www.berwang.tirol.gv.at,KEM-Region Außerfern,,Offen,
Biberwier,6633,660,Josef Klotz,Bürgermeister (Gemeindeamt),+43 5673 2323,gemeinde@biberwier.tirol.gv.at,https://www.biberwier.tirol.gv.at,KEM-Region Außerfern,,Offen,
Bichlbach,6621,772,Klaus Schimmer,Bürgermeister (Gemeindeamt),+43 5674 5202,gemeinde@bichlbach.tirol.gv.at,https://www.gemeinde-bichlbach.at,KEM-Region Außerfern,,Offen,
Ehrwald,6632,2599,Martin Hohenegg,Bürgermeister (Gemeindeamt),+43 5673 2210,gemeinde@ehrwald.gv.at,https://www.ehrwald.gv.at,KEM-Region Außerfern,,Offen,
Baumkirchen,6121,1265,Hubert Oberthanner,Bürgermeister (Gemeindeamt),+43 5224 52175,gemeinde@baumkirchen.tirol.gv.at,https://www.baumkirchen.tirol.gv.at,KEM-Region Hall und Umgebung,,Offen,
Gnadenwald,6069,846,Heidi Profeta,Bürgermeisterin (direkt),+43 5223 53203,gemeinde@gnadenwald.tirol.gv.at,https://www.gnadenwald.tirol.gv.at,KEM-Region Hall und Umgebung,,Offen,
Hall in Tirol,6060,14797,Dr. Christian Margreiter,Bürgermeister (Gemeindeamt),+43 5223 58450,stadtamt@stadthall.at,https://www.hall-in-tirol.at/,KEM-Region Hall und Umgebung,,Offen,
Angerberg,6320,1937,Martin Osl,Bürgermeister (Gemeindeamt),+43 5332 56104,gemeinde@angerberg.tirol.gv.at,https://www.angerberg.tirol.gv.at,KEM-Region Hohe Salve,,Offen,
Roppen,6426,1951,Ingo Mayr,Bürgermeister (direkt),+43 650 5210120,buergermeister@roppen.gv.at,https://www.roppen.tirol.gv.at,KEM-Region Imst,Ing. Raphael Kuen,nicht kontaktiert,
Arzl im Pitztal,6471,3160,Josef Knabl,Bürgermeister (Gemeindeamt),+43 5412 63333,gemeinde@arzl-pitztal.tirol.gv.at,https://www.arzl-pitztal.gv.at,KEM-Region Imst und Umgebung,,Offen,
Mieming,6414,3971,Simone Weber,Kontaktperson,+43 5264 5212,gemeinde@mieming.at,https://www.mieming.at,KEM-Region Imst und Umgebung,,Offen,
Stams,6422,1608,Franz Gallop,Bürgermeister (Gemeindeamt),+43 5263 6208,gemeinde@stams.tirol.gv.at,https://www.stams.gv.at,KEM-Region Imst und Umgebung,,Offen,
Aldrans,6071,2829,Johannes Strobl,Bürgermeister (Gemeindeamt),+43 512 34 82 12,gemeinde@aldrans.tirol.gv.at,https://www.aldrans.tirol.gv.at,KEM-Region Innsbruck-Land,,Offen,
Hatting,6402,1525,Klaus Moll,Bürgermeister (Gemeindeamt),+43 5238 54204,info@hatting.gv.at,https://www.hatting.at,KEM-Region Innsbruck-Land,,Offen,
Telfs,6410,16250,Christian Härting,Bürgermeister (Gemeindeamt),+43 5262 6961,info@telfs.gv.at,https://www.telfs.gv.at,KEM-Region Innsbruck-Land (Telfs und Umgebung-Salzstral),,Offen,
Brixen im Thale,6364,2701,Ernst Huber,Bürgermeister (Gemeindeamt),+43 5334 8100,gemeinde@brixen-thale.gv.at,https://www.brixen-thale.gv.at,KEM-Region Kitzbüheler Alpen,,Offen,
Breitenbach am Inn,6252,3564,Patrick Gruber,Bürgermeister (Gemeindeamt),+43 5338 7255,patrick.gruber1@gmx.at,https://www.breitenbach.at,KEM-Region KUUSK,,Offen,
Ebbs,6341,5929,Josef Ritzer,Bürgermeister (Gemeindeamt),+43 5373 42300,gemeinde@ebbs.gv.at,https://www.ebbs.gv.at,KEM-Region KUUSK,,Offen,
Erl,6343,1629,Johann Dreier,Bürgermeister (Gemeindeamt),+43 5373 8125,gemeinde@erl.gv.at,https://www.erl.gv.at,KEM-Region KUUSK,,Offen,
Kufstein,6330,20162,Mag. Martin Krumschnabel,Bürgermeister (Gemeindeamt),+43 5372 6020,stadtamt@kufstein.at,https://www.kufstein.gv.at,KEM-Region KUUSK,,Offen,
Langkampfen,6336,4260,Christian Elmer,Bürgermeister (Gemeindeamt),+43 5332 87669124,c.elmer@langkampfen.at,https://www.langkampfen.at,KEM-Region KUUSK,,Offen,
Faggen,6525,385,Andreas Förg,Bürgermeister (Gemeindeamt),+43 5442 62100,gemeinde@faggen.tirol.gv.at,https://www.faggen.tirol.gv.at,KEM-Region Landeck,,Offen,
Landeck,6500,7617,Herbert Mayer,Bürgermeister (Gemeindeamt),+43 5442 69090,gemeinde@landeck.gv.at,https://www.landeck.gv.at,KEM-Region Landeck,Elisabeth Steinlechner,Offen,
Schönwies,6491,1766,DI (FH) Reinhard Raggl,Bürgermeister (Gemeindeamt),+43 5418 5202,gemeinde@schoenwies.gv.at,https://www.schoenwies.gv.at,KEM-Region Landeck,Elisabeth Steinlechner,nicht kontaktiert,
Aurach bei Kitzbühel,6371,1143,Andreas Wurzenrainer,Bürgermeister (Gemeindeamt),+43 5356 64307,gemeinde@aurach-kitzbuehel.gv.at,https://www.aurach-kitzbuehel.gv.at,KEM-Region Leukental,,Offen,
Fieberbrunn,6391,4591,Dr. Walter Astner,Bürgermeister (direkt),+43 5354 56203,buergermeister@fieberbrunn.at,https://www.fieberbrunn.gv.at,KEM-Region Leukental,,nicht kontaktiert,"Nachbargemeinde von St. Johann in Tirol, Prioritätsgemeinde"
Gemeinde St. Johann in Tirol,6380,9750,Hans Soder,Umweltreferent,+43 5352 6900229,hans.soder@st.johann.tirol,https://www.st.johann.tirol,KEM-Region Leukental,,Offen,
Kirchdorf in Tirol,6382,4174,Gerhard Obermüller,Bürgermeister (direkt),+43 5352 63111,bgm@kirchdorf.tirol,https://www.kirchdorf.tirol,KEM-Region Leukental,,nicht kontaktiert,Nachbargemeinde von St. Johann in Tirol
Kitzbühel,6370,8279,Dr. Klaus Winkler,Bürgermeister (Gemeindeamt),+43 5356 62161 18,stadtamt@kitzbuehel.at,https://www.kitzbuehel.at,KEM-Region Leukental,,nicht kontaktiert,Nachbargemeinde von St. Johann in Tirol
Oberndorf in Tirol,6372,2396,Hans Schweigkofler,Bürgermeister (direkt),+43 5352 62910 12,buergermeister@oberndorf-tirol.gv.at,https://www.oberndorf-tirol.at,KEM-Region Leukental,,nicht kontaktiert,Nachbargemeinde von St. Johann in Tirol
